The words in the text are in descending order according to their frequency:
<--the (37)--> 
<--chicken-houses (1)--> 
<--an (1)--> 
<--darted (1)--> 
<--by (1)--> 
<--face (1)--> 
<--can (1)--> 
<--word (1)--> 
<--him (1)--> 
<--work (1)--> 
<--poster (1)--> 
<--instinct (1)--> 
<--quite (1)--> 
<--plugged (1)--> 
<--given (1)--> 
<--turned (1)--> 
<--bombs (1)--> 
<--which (1)--> 
<--mattered (1)--> 
<--or (1)--> 
<--rotting (1)--> 
<--overheard (1)--> 
<--commanded (1)--> 
<--sprung (1)--> 
<--thought (1)--> 
<--so (1)--> 
<--Plan (1)--> 
<--garden (1)--> 
<--pig-iron (1)--> 
<--would (1)--> 
<--darkness (1)--> 
<--plaster (1)--> 
<--whenever (1)--> 
<--while (1)--> 
<--system (1)--> 
<--people's (1)--> 
<--sky (1)--> 
<--very (1)--> 
<--kilometre (1)--> 
<--posters (1)--> 
<--against (1)--> 
<--patrols (1)--> 
<--voice (1)--> 
<--populous (1)--> 
<--some (1)--> 
<--gazed (1)--> 
<--You (1)--> 
<--white (1)--> 
<--And (1)--> 
<--nineteenth-century (1)--> 
<--habit (1)--> 
<--grimy (1)--> 
<--dark (1)--> 
<--tell (1)--> 
<--seen (1)--> 
<--place (1)--> 
<--sort (1)--> 
<--sordid (1)--> 
<--sun (1)--> 
<--series (1)--> 
<--This (1)--> 
<--police (1)--> 
<--still (1)--> 
<--iron (1)--> 
<--unintelligible (1)--> 
<--chief (1)--> 
<--field (1)--> 
<--anything (1)--> 
<--scrutinized (1)--> 
<--flapped (1)--> 
<--whisper (1)--> 
<--One (1)--> 
<--flight (1)--> 
<--movement (1)--> 
<--alternately (1)--> 
<--Truth (1)--> 
<--matter (1)--> 
<--swirled (1)--> 
<--streetlevel (1)--> 
<--moment (1)--> 
<--bombed (1)--> 
<--memory (1)--> 
<--landscape (1)--> 
<--knew (1)--> 
<--skimmed (1)--> 
<--tableaux (1)--> 
<--harsh (1)--> 
<--colour (1)--> 
<--snooping (1)--> 
<--fitfully (1)--> 
<--remember (1)--> 
<--Oceania (1)--> 
<--background (1)--> 
<--assumption (1)--> 
<--street (1)--> 
<--patrol (1)--> 
<--bright-lit (1)--> 
<--shining (1)--> 
<--patch (1)--> 
<--squeeze (1)--> 
<--crazy (1)--> 
<--uncovering (1)--> 
<--hovered (1)--> 
<--itself (1)--> 
